id,grading,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,answer_correctness
world-cup-latest,evidence_faithful,Who won the most recent FIFA World Cup and what was the score?,"[""Complete FIFA World Cup winners list from 1930 to 2026 with every champion, runner-up, final score, title total and Spain's 2026 victory."", ""The FIFA World Cup final is the biggest match in international soccer, deciding the champion of the world's most prestigious tournament every four years. Since the inaugural World Cup in 1930, fans have witnessed unforgettable moments, legendary performances, dramatic extra-time victories, and penalty shootouts that have shaped football history. Below is the complete list of..."", 'Check the full recap of the FIFA World Cup 2022 final, including the final score, goalscorers, penalty shootout results, awards, and records from Argentina vs France.', 'Slovenian referee Slavko Vincic, who officiated the FIFA World Cup 2026 final between Spain and Argentina, has announced his retirement from refereeing.', 'Review the match events and penalty shootout from the 2022 FIFA World Cup Final between Argentina and France in Qatar. The match ended 3-3 after extra time, featuring two goals from Lionel Messi ...', ""From Christine Sinclair in 2002 to Choe Il-son in 2024, take a look back at every adidas Golden Ball winner from the FIFA U-20 Women's World Cup."", 'Every World Cup final result from 1930-2022. Complete list of winners, runners-up, scores and penalty shootouts in chronological order.', 'Watch the full, uncut shoot-out that decided the greatest final in history. Experience the clinical composure of Lionel Messi and Kylian Mbappe from the spot at the 2022 FIFA World Cup.', 'The FIFA World Cup 2022 in Qatar will host a plethora of matches and its outcome will provide a clearer picture as to which team will lift the trophy on December 18. Find out timely outcomes and ...', 'Read latest news and live updates of Football World Cup matches including FIFA world cup teams, schedule (fixtures), match result, points table, photos, videos and more only at News18.com ...', 'Catch all live updates of the ongoing matches of the FIFA World Cup 2022 in Qatar. Follow the team tactics, its formation, in-depth match analysis and how the two teams have fared in head-to-head ...', 'Reuters will be at every stadium for every game. We will feature a curated daily photo selection of the best of the action on and off the pitch.']","The most recent FIFA World Cup was held in 2022 in Qatar. Argentina won the tournament by defeating France in a dramatic final that ended 3-3 after extra time, with Argentina winning 4-2 in the penalty shootout [E3]. The match took place on December 18, 2022 [E9].","Argentina won the 2022 FIFA World Cup, beating France on penalties after a 3-3 final.",,,,
capital-australia,reference,What is the capital of Australia?,"['Capital city of states and territories of Australia There are eight capital cities in Australia, Canberra is the capital city of Australia. Australia is divided into six states (New South Wales, Queensland, South Australia, Tasmania, Victoria, and Western Australia), three internal territories (the Australian Capital Territory, the Jervis Bay Territory, and the Northern Territory), and seven ...', ""The Australian Capital Territory (ACT), known as the Federal Capital Territory until 1938, is an internal territory of Australia. Canberra, the capital city of Australia, is situated within the territory and is the territory's primate city."", ""Canberra (/ ˈkænbrə / ⓘ KAN-brə; Ngunawal: Kanbarra) is the capital city of Australia and the largest population centre in the Australian Capital Territory. With an estimated population of 484,630 as of 2025, Canberra is Australia's largest inland city and the eighth-largest Australian city by population. The city occupies most of the northern quadrant of the Australian Capital Territory ..."", 'The capital city of Australia is Canberra, not Sydney or Melbourne. Canberra is located in the Australian Capital Territory, inland from the east coast and surrounded by New South Wales.', 'Canberra, federal capital of the Commonwealth of Australia. It occupies part of the Australian Capital Territory, in southern Australia, and is about 150 miles (240 km) southwest of Sydney. Canberra lies astride the Molonglo River, which is a tributary of the Murrumbidgee River.', '3 Dec 2025 ... Explanation: Canberra is the capital city of Australia and serves as the seat of the Australian federal government. Many students are surprised\xa0...', 'Australia is the smallest continent and one of the largest countries on Earth, lying between the Pacific and Indian oceans in the Southern Hemisphere. Its capital city is Canberra, and its most important economic and cultural centers are Sydney and Melbourne.', ""SYDNEY, Aug 22 (Reuters) - Australia's capital will join a gun buyback as part of a response to a shooting spree that killed ..."", 'Get complete Australia country profile covering total population, population rank in the world and in Australia And Oceania, land and water area (km² & mi²), capital city Canberra, official language, national currency (AUD), live local date and time, sunrise and sunset times, GPS coordinates, dialing code, internet domain, ISO country codes, political status and nearest neighboring country ...', 'The Australian capital will join a gun buyback scheme in response to the December shooting spree that killed 15 people at a ...', ""Glencore's planned secondary listing in Australia signals a push to tap one of the world's fastest-growing pools of institutional capital to fund its copper growth ambitions and \u200bpotentially pave the way for transformational M&A."", 'Thousands of Australians joined anti-immigration rallies across the country on Sunday that the centre-left government condemned, saying they sought to spread hate and were linked to neo-Nazis.']","The capital of Australia is Canberra [E4]. It is located in the Australian Capital Territory (ACT), an internal territory of Australia, and serves as the seat of the Australian federal government [E6]. Canberra is situated inland from the east coast, approximately 150 miles (240 km) southwest of Sydney [E5].",Canberra.,,0.9539934992790222,,
india-capital-gdp,reference,Which city is India's financial capital and what is India's approximate GDP size in USD?,"[""New Delhi, Aug 12 (KNN) India was the world's sixth-largest economy in 2025-26, with a nominal gross domestic product (GDP) of USD 3.92 trillion, according to the International Monetary Fund's April ..."", ""India's nominal GDP stood at $3.92 trillion in 2025-26, according to the IMF's April 2026 World Economic Outlook, MoS Finance Pankaj Chaudhary said in a written reply to the Rajya Sabha ..."", ""The International Monetary Fund (IMF) in its World Economic Outlook for April 2026 noted India's nominal GDP at $3.92 trillion for 2025-26, which makes India the sixth-largest economy in the world, ..."", ""India's economic landscape has undergone a significant transformation since Independence in 1947, evolving from an economy characterised by widespread poverty, low literacy, limited industrial capacity and weak infrastructure into a diversified and globally integrated economy. The World Bank estimated India's nominal GDP at Rs. 349.97 lakh crore (US$ 3.96 trillion) in 2025, with GDP per ..."", ""Mumbai is known to be the financial capital of India, and is home to the RBI, BSE, NSE, and hundreds of banks, while GIFT City is India's foreign financial hub and a purpose-driven IFSC offering tax benefits. The real question for 2035 is will they co-exist or will any one of them dominate the country's economy."", ""21 Oct 2025 ... Mumbai is known as the financial capital of India because nearly 6% of the country's total wealth is concentrated here."", 'I. Annual Estimates and Growth Rates Real GDP or GDP at Constant Prices is estimated to attain a level of ₹201.90 lakh crore in FY 2025-26, against the Provisional Estimates (PE) of GDP for the FY 2024-25 of ₹187.97 lakh crore, registering a growth rate of 7.4%. Nominal GDP or GDP at Current Prices is estimated to attain a level of ₹357.14 lakh crore in the FY 2025-26, against ₹330.68 ...', 'GDP of India at constant (2011-12) prices and current prices in indian rupees. Estimates by world bank since 1960 in nominal terms and since 1990 in ppp terms at current and constant prices. Projections by IMF.', 'Graph and download economic data for Nominal Gross Domestic Product for India (NGDPNSAXDCINQ) from Q2 2004 to Q1 2026 about India and GDP.', ""As per the World Economic Outlook database (April 2026) published by the IMF, India's GDP at current prices is projected to be around $5.1 trillion by 2028-29, she said in a written reply."", ""28 Nov 2025 ... Gujarat International Finance Tec-City (GIFT City) is India's first International Financial Services Centre (IFSC), located in Gandhinagar\xa0..."", ""India's road to becoming a $20 trillion economy by 2036 can be achieved by adapting five growth engines — human capital, ...""]","Mumbai is India's financial capital, as it is home to key financial institutions such as the Reserve Bank of India (RBI), the Bombay Stock Exchange (BSE), and the National Stock Exchange (NSE) [E6].  

India's nominal GDP was estimated at USD 3.92 trillion for the fiscal year 2025-26 [E1]. This figure is supported by the IMF's April 2026 World Economic Outlook and was confirmed in a government reply to the Rajya Sabha [E2]. Another source estimates India's nominal GDP at USD 3.96 trillion for 2025, based on World Bank data [E4]. Both figures are consistent with India being the world's sixth-largest economy in 2025-26 [E3].",Mumbai is the financial capital; India's GDP is roughly 3.5-4 trillion USD.,,,,
nobel-peace-recent,evidence_faithful,What organization or person won the most recent Nobel Peace Prize?,"['10 Oct 2025 ... The Nobel Peace Prize winner is set to be named today, with Donald Trump and his administration having made clear more than once that they\xa0...', ""The 2026 Nobel Peace Prize is an international peace prize established according to Alfred Nobel's will that will be announced on 9 October 2026 by the\xa0..."", 'Nobel Peace Prize 2026 ... The prize will be announced on Friday, 9 October, 11:00 CEST, by the Norwegian Nobel Committee at the Norwegian Nobel Institute. Learn\xa0...', '30 Apr 2026 ... The Nobel Peace Prize laureate(s) of 2026 will be announced on Friday, 9 October, with the award ceremony taking place on 10 December in\xa0...', ""Trump and his obsession with the Nobel Peace Prize is a story that's not new. From 2018 to the present, he has been nominated ..."", '... the laureate by the Norwegian Nobel Committee. 16 Jan 2026. A Nobel Peace Prize laureate receives two central symbols of the prize: a gold medal and a\xa0...', '30 Mar 2026 ... The 2026 Nobel Peace Prize winner will be announced on October 10. Whether or not the nomination succeeds, the gesture itself underscores a\xa0...', 'List of Nobel Peace Prize laureates The Norwegian Nobel Institute assists the Norwegian Nobel Committee in selecting recipients of the Nobel Peace Prize and in organising the annual award in Oslo.', 'Venezuelan opposition leader and Nobel Peace Prize winner Maria Corina Machado is set to meet face to face for the first time with U.S. President Donald Trump on Thursday, after the U.S. ousted her long-time foe, former President Nicolas Maduro.', 'Nobel Laureates, Representatives of Nobel Peace Prize Laureate Organizations, Former Heads of State and Government, Religious Leaders, Delegates and International Guests in Piazza del Campidoglio.', ""PRIO Director's 2026 Nobel Peace Prize List · Mykola Kuleba and Save the Children · Sudan's Emergency Response Rooms · The World Trade Organization · The Committee\xa0..."", 'The Nobel Prize 2026 Winners List by Category and Country will only be accurate once the Nobel Prize committees officially publish the laureates for each\xa0...']","The most recent Nobel Peace Prize was awarded in 2025, and the laureate was Maria Corina Machado, a Venezuelan opposition leader, who received the prize on 10 October 2025 [E9]. The award was announced by the Norwegian Nobel Committee on 10 October 2025 [E1].


Caveats:
The following points could not be fully verified against the retrieved evidence:
- The most recent Nobel Peace Prize was awarded in 2025, and the laureate was Maria Corina Machado, a Venezuelan opposition leader, who received the prize on 10 October 2025
- The award was announced by the Norwegian Nobel Committee on 10 October 2025",Varies by year; answer must name a real recent laureate consistent with search results.,,,,
python-creator,reference,Who created the Python programming language and in what year was it first released?,"['The correct answer is Guido van Rossum Key Points Guido van Rossum is the creator of the Python programming language. Python was first released in 1991 an.', 'Who. Python was created by Guido van Rossum and first released on February 20, 1991. While the word ""python"" might bring to mind a large\xa0...', '20 Feb 2026 ... 0, the first public version of the popular programming language, released #otd in 1991. ... created Python and released the first version (0.9.', 'Python is one of the most popular, high-level, general-purpose programming languages. It was created with a focus on code readability and allows developers to write concepts in fewer lines compared to C++ or Java. Who Invented Python? Creator: Guido van Rossum Started: 1989, at Centrum Wiskunde & Informatica (CWI), Netherlands First Release: 1991 Reason: Started as a hobby project during ...', 'Python was created in December 1989 by Guido van Rossum during a Christmas holiday. The first public version (0.9.0) was released to the alt.sources newsgroup in February 1991.', 'The programming language Python was conceived in the late 1980s, and its implementation was started in December 1989 by Guido van Rossum at CWI in the\xa0...', 'Explore the history of the Python programming, from its predecessor ABC to its release in 1991 and its growth into a top language for AI and web development.', 'Read the fascinating history of Python programming language, from its creation by Guido van Rossum in 1989 to its evolution as a versatile and widely-used programming tool globally.', '13 Apr 2026 ... The first public version, Python 0.9.0, was released in February 1991. It introduced important features like functions, modules, exception\xa0...', ""5 days ago ... The founder of Python, Guido van Rossum, didn't just create a programming language. He created a movement — one that made coding more accessible\xa0..."", ""25 Nov 2025 ... When we shared this year's Octoverse data with Guido van Rossum, the creator of Python, his first reaction was genuine surprise."", 'Discover how guido van rossum created Python, shaped the programming world, and became one of the most influential figures in software history.']",The Python programming language was created by Guido van Rossum [E1]. It was first released in 1991 [E2].,"Guido van Rossum, first released in 1991.",,,,
eu-members-count,reference,How many member states are in the European Union?,"[""EU countries list 2026: all 27 member states As of 2026 the European Union has 27 member states, home to about 450 million people, after the United Kingdom's exit in 2020; this guide lists every country with its capital, population, accession year and euro status."", 'The European Union has 27 member states in 2026 after Brexit. See the complete list, candidate countries, and learn the difference between the EU and Schengen.', 'Complete list of European Union (EU) countries in 2026. View all 27 EU member states with their capitals, year of accession, population, currency, and key facts about the European Union.', ""The European Union (EU) is a supranational union of 27 member states that are party to the EU's founding treaties, and thereby subject to the privileges and obligations of membership. They have agreed by the treaties to share their own sovereignty through the institutions of the European Union in certain aspects of government."", 'There are 27 European Union member countries in 2026 after Brexit. See the full list with capitals, join dates, the founding six, and the eurozone.', 'The European Union The European Union is a group of 27 countries in Europe. These countries came together to make things better, easier and safer for people. They agreed to work together and help each other.', '1 Jan 2026 ... Almost 14 million of them are citizens of EU Member States other than the one in which they reside. The rest are citizens of non-EU countries.', 'A supranational union with a total area of 4,233,255 km 2 (1,634,469 sq mi) and an estimated population of just under 452 million as of 2026, its member states\xa0...']","As of 2026, the European Union has 27 member states [E1]. This number has remained unchanged since the United Kingdom's departure in 2020 [E2].",27 member states.,,,,
mars-mission,reference,Which country's spacecraft was the first to successfully land on Mars?,"[""The first successful lander on Mars — NASA's three-legged Viking 1 — touched down safely on July 20, 1976, at 7:53 a.m. EDT. It gave humanity our first ground-level view of the Red Planet. Joined six weeks later by its twin lander, Viking 2, and the two orbiters that accompanied them, the Viking mission broke ground on Mars surface exploration 50 years ago — a search that missions have ..."", ""The first successful landing on Mars was achieved not by NASA's Viking 1 in 1976, as popularly believed, but by the Soviet Union's Mars 3 mission. On December 2, 1971, the Soviet spacecraft became the first to make a soft landing on the Martian surface, a remarkable achievement overshadowed by its vastly more publicized American successor."", 'Missions ; 22, Viking 1 · Entered Mars orbit on 19 June 1976 and operated until 1385 orbits. · Viking 1 lander was the First successful Mars lander. Deployed from\xa0...', ""Starting in 1960, the Soviet space program launched a series of probes to Mars including the first intended (but unsuccessful) flybys and hard (impact) landing. In November 1962, Mars 2MV-3 No.1 was intended to land on Mars but didn't manage to leave the low Earth orbit and decayed down the Earth's atmosphere, disintegrating progressively. The first successful flyby of Mars was on 14-15 ..."", 'Today in the history of astronomy, a spacecraft makes the first successful Mars landing.', 'Viking 1 made the first truly successful landing on Mars. The Soviet Mars 3 lander claimed a technical first, but contact was lost almost immediately.', 'This is a list of spacecraft missions (including unsuccessful ones) to the planet Mars, such as orbiters, landers, and rovers. Mission time is often measured in Mars sols, solar days on Mars.', ""The Soviet Union's Mars 3 lander achieved the first soft landing on Mars on December 2, 1971, but lost contact just 14.5 seconds later due to a massive dust storm. It transmitted a single blank image before going silent, marking a brief yet significant moment in space exploration history."", ""India's space journey has evolved from transporting rocket parts on bicycles and launching its first sounding rocket at ..."", ""Discover the top space missions to watch in 2026. Artemis II, Chang'e 7, Starship, Gaganyaan & Haven-1 humanity's most ..."", 'A Long March 7A rocket exploded shortly after liftoff on Monday (Aug 10), bringing its half-decade run of successful missions ...', 'The China National Space Administration was founded more than 25 years ago and is overseeing an ambitious programme which ...']","The question involves conflicting claims between two nations:

- The Soviet Union's Mars 3 lander achieved the first soft landing on Mars on December 2, 1971 [E8]. However, contact was lost just 14.5 seconds after landing due to a dust storm, and it transmitted only a single blank image [E8]. Some sources describe this as a technical first but not a fully successful mission [E6].

- NASA's Viking 1 lander made the first truly successful landing on Mars on July 20, 1976, and operated for years, sending back extensive data and images [E1][E3][E5][E6].

While Mars 3 was the first to achieve a soft landing, Viking 1 is widely recognized as the first successful Mars lander due to its sustained operation and scientific contributions [E6]. Therefore, depending on the definition of ""successful,"" the answer varies:
- First soft landing: Soviet Union (Mars 3, 1971) [E8].
- First successful landing (with sustained operation): United States (Viking 1, 1976) [E1][E3][E6].


Caveats:
The following points could not be fully verified against the retrieved evidence:
- The question involves conflicting claims between two nations:","The Soviet Union's Mars 3 in 1971 (first soft landing), though NASA's Viking 1 was the first fully successful mission in 1976.",,,,
olympics-host,evidence_faithful,Which city hosted the most recent Summer Olympic Games?,"['The Los Angeles 2028 Summer Olympic Games are an international athletic competition scheduled to be held in Los Angeles July 14-30, 2028. It will be the fifth Summer Olympics to be hosted by the United States, and the third time Los Angeles will host the event. Most events will be held in Los Angeles at existing venues with minimal new construction, while two sports will be played in ...', 'The Summer Olympic Games, also known as the Summer Olympics or the Games of the Olympiad, are a major international multi-sport event normally held once every four years. The inaugural Games took place in 1896 in Athens, then part of the Kingdom of Greece, and the most recent was held in 2024 in Paris, France.', 'The last 10 Olympic Games represent a diverse era of global sport, featuring Paris 2024 (Summer), Beijing 2022 (Winter), Tokyo 2020 (Summer), Pyeongchang 2018 (Winter), Rio 2016 (Summer), Sochi 2014 (Winter), London 2012 (Summer), and Vancouver 2010 (Winter). This sequence includes the first-ever South American games and the first city to host both seasonal editions.', '1 Dec 2025 ... Explanation: The 2024 Summer Olympics were hosted by Paris, France, marking a spectacular return of the Games to the City of Light after exactly\xa0...', 'Map of host cities and countries of the modern summer (orange) and winter (blue) Olympics. * Tokyo hosted the 2020 Summer Olympics in 2021, postponed due to the COVID-19 pandemic. In the SVG file, tap or hover over a city to show its name (only on the desktop). The modern Olympics began in 1896. Since then, summer and winter games have usually celebrated a four-year period known as an Olympiad ...', ""The Olympic Games Los Angeles 2028 will run from 14-30 July 2028, staging 51 sports disciplines across more than 40 venues stretching from downtown LA to as far afield as Oklahoma City and New York. No new permanent structures will be built for the occasion - a first for any Summer Games since London 1948 - with organisers instead drawing on Southern California's deep roster of world ..."", 'List of Olympic Games Host Cities - Check Host cities of Summer and Winter Olympic games from 1896 Athens olympics to Los Angeles 2028 Olympic Games.', 'Every Olympic Host City and Year Here is the complete host-city timeline for the modern Summer Games and Winter Games, including the wartime cancellations. The Summer Olympics began in Athens, Greece, in 1896. The first Winter Olympics were held in Chamonix, France, in 1924.', ""The 2024 Summer Olympics (fr Les Jeux Olympiques d'été de 2024), officially the Games of the XXXIII Olympiad (fr Jeux de la XXXIIIe olympiade de l'ère moderne) and branded as Paris 2024, were an international multi-sport event held in France from 26 July to 11 August 2024, with several events starting from 24 July. Paris was the host city, with events (mainly football) held in 16 additional ..."", 'Five bids were initially submitted for the 2024 Summer Olympics. Following withdrawals, two bidding cities— Paris and Los Angeles —were left in the process. In July 2017, the IOC agreed to award the 2024 and 2028 Games simultaneously. Los Angeles agreed to bid for the 2028 Games, effectively ceding the 2024 Games to Paris. Paris and Los Angeles were officially awarded the Games at ...', 'The 2024 Summer Olympics, officially known as the Games of the XXXIII Olympiad, were an international multi-sport event held in Paris, France,\xa0...', 'Paris 2024 featured the debut of breaking as an Olympic sport, and was the final Olympic Games held during the IOC presidency of Thomas Bach. ... The 2024 Games\xa0...']","The most recent Summer Olympic Games were hosted by Paris, France, from 26 July to 11 August 2024 [E9].",Paris hosted the 2024 Summer Olympics.,,0.9325340390205383,,
quantum-supremacy,reference,Which company first claimed quantum supremacy and with what processor?,"[""In 2019, Google researchers claimed that they had achieved quantum supremacy with a newly developed processor named Sycamore. It's a superconducting transmon quantum processor with 53 qubits."", 'Their 2019 quantum supremacy claim with the Sycamore processor established their technical credibility, but practical applications remain limited. Google Quantum Milestones', ""The Quantum Computing Tipping Point: How 2026 Marks the First Practical Supremacy Milestone IBM's bold prediction that 2026 will witness quantum computers outperforming classical computers for the first time on practical problems represents a watershed moment in technological history. This quantum advantage milestone, centered on IBM's Nighthawk processor with 120 qubits and improved quantum ..."", 'Google has announced a major scientific milestone, revealing that its quantum research division, Google Quantum AI, has achieved the world\'s first verifiable quantum supremacy with a next-generation processor called ""Willow."" Today in @Nature, we published a breakthrough demonstration of verifiable quantum advantage using a measurement known as out-of-time-order correlator (OTOC), or ...', ""There also have been claims of quantum supremacy, including Google's assertion in 2019 regarding its 53-qubit Sycamore quantum processor and D-Wave last year touting a version of its Advantage 2 quantum annealing system, which also has been challenged. The usefulness of the problem solved is the difference between advantage and supremacy."", ""30-second brief IBM predicts 2026 will mark practical quantum supremacy with its 120-qubit Nighthawk processor, transforming pharma, materials, and finance while creating urgent 'harvest now, decrypt later' national security threats. Learn how this milestone reshapes US-China competition."", 'Xanadu Makes Quantum Computer Borealis Available in the Cloud with Advantage Over Supercomputers Canadian company claims its photonic system with 216 qubits completes a task in 36 microseconds, while a classical supercomputer would need 9,000 years. This is the first publicly accessible cloud quantum computer to achieve quantum supremacy.', 'Scientists at UT Austin claim the first provable quantum supremacy, showing a 12-qubit system beat classical computers—paving the way for real quantum power.', 'IonQ and Ansys demonstrated practical quantum advantage in medical device simulation, outperforming classical high-performance computing by 12 percent in a real-world application. These milestones trace their lineage back to that pivotal October day when Sycamore first proved that quantum supremacy was achievable.', 'In quantum computing, quantum supremacy or quantum advantage is the goal of demonstrating that a programmable quantum computer can solve a problem that no\xa0...', 'Back in February 2025, in Microsoft Advances Quantum Computing, I said the company claimed to have developed Majorana 1 (named for Ettore Majorana, a brilliant Sicilian physicist who predicted the ...', ""When Google's quantum computing team quietly published a 47-page technical paper on June 18, the reaction inside Silicon Valley was swift, polarized, and — in several corners — genuinely alarmed. The paper, authored by researchers at Google Quantum AI's Santa Barbara facility, claims the company's latest quantum processor, codenamed Willow II, completed a computational task in 11 ...""]",Google first claimed quantum supremacy in 2019 with its 53-qubit Sycamore quantum processor [E1].,"Google, with the 53-qubit Sycamore processor, in 2019.",,0.8301246166229248,,
deepest-ocean,reference,What is the deepest known point in the ocean and how deep is it?,"[""The Mariana Trench, located in the western Pacific Ocean just east of the Mariana Islands, is the deepest known point in Earth's oceans, reaching depths of\xa0..."", 'The deepest known point on Earth lies not on any continent but in a crescent-shaped scar on the floor of the western Pacific ...', '30 Dec 2025 ... Challenger Deep, the deepest part of the Mariana Trench and the greater ocean, is located at a depth of about 36,000 feet (around 11,000\xa0...', '3 Jun 2026 ... The deepest oceanic trench on the Earth, i.e. the Mariana Trench, is located in the western North Pacific Ocean. · Its maximum depth (≈10,984 m)\xa0...', ""Mariana Trench (Marianas Trench), deepest of the world's deep-sea trenches. It stretches for more than 1,580 miles (2,540 km) with a mean width of 43 miles (69 km) and is part of the western Pacific system of oceanic trenches coinciding with subduction zones. Read here to learn more about the Mariana Trench."", '23 May 2026 ... In the Mariana Trench, the ocean floor splits open into the deepest scar on Earth. From the surface, it looks like your classic tropical\xa0...', 'The discovery beneath Atlantis Massif reveals how Earths geology, water and deep-sea life are interconnected. The 4,160-foot ...', ""HMS Challenger made the first sounding of Challenger Deep in 1875 of 8184 m. Many have since claimed depths deeper than Challenger's 8184 m,\xa0..."", 'Two continent-sized structures deep inside Earth may contain remnants of Theia, the ancient planet thought to have collided ...', 'Mount Everest is the standard by which people measure extreme height, its summit the highest point on the surface of the ...', 'A University of Delaware research team is tagging shortfin mako and blue sharks with ocean-measuring sensors, using the ...', 'Researchers have discovered evidence of water and ancient tectonic debris trapped hundreds of kilometres beneath the Eastern ...']","The deepest known point in the ocean is Challenger Deep, located within the Mariana Trench [E3]. It has a depth of approximately 36,000 feet (about 11,000 meters) [E3]. Some sources cite a maximum depth of around 10,984 meters [E4].","Challenger Deep in the Mariana Trench, about 10,900-11,000 meters deep.",,,,
