id,grading,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,answer_correctness
world-cup-latest,evidence_faithful,Who won the most recent FIFA World Cup and what was the score?,"['Slovenian referee Slavko Vincic, who officiated the FIFA World Cup 2026 final between Spain and Argentina, has announced his retirement from refereeing.', ""From Christine Sinclair in 2002 to Choe Il-son in 2024, take a look back at every adidas Golden Ball winner from the FIFA U-20 Women's World Cup."", 'The World Cup team of the tournament that FIFA revealed has left fans baffled because there are some players who can count themselves unfortunate not to feature ...', 'FIFA issued $270,000 in fines and 22 games in bans after the Argentina-Spain World Cup final brawl, with Leandro Paredes ...', 'Morocco head into Friday’s FIFA World Cup draw in Washington brimming with confidence, determined to build on their trailblazing run to the semi-finals in Qatar 2022 and prove their rise is no accident.', 'The FIFA World Cup 2022 in Qatar will host a plethora of matches and its outcome will provide a clearer picture as to which team will lift the trophy on December 18. Find out timely outcomes and ...', 'FIFA has announced punishments for Argentina and Spain players involved in the brawl after the World Cup Final, with Leandro ...', 'Catch all live updates of the ongoing matches of the FIFA World Cup 2022 in Qatar. Follow the team tactics, its formation, in-depth match analysis and how the two teams have fared in head-to-head ...', 'FIFA will restrict how many fans can attend the next two Argentina home games following its World Cup brawl.', 'A leaked police dossier reportedly reveals Lionel Messi was the main target of multiple terror threats during the 2026 FIFA World Cup. The documents detail alleged ...', 'India vs England at the Hockey World Cup 2026: a 32-year wait for a win traces back to a 1-0 result in Sydney, 1994. The full ...', 'The 2026 World Cup may ultimately be remembered less for the identity of its winner than for the question it left hanging over the game: how much of soccer’s American makeover will survive once the tournament leaves North America?']","The most recent FIFA World Cup was held in 2026, and the final was contested between Spain and Argentina [E1]. The match ended in a brawl, leading to significant disciplinary actions, including a 10-match ban for an Argentina player and fines totaling $270,000 [E7]. However, the official winner of the 2026 FIFA World Cup has not been determined from the provided evidence, as the final outcome (i.e., the team that won the match) is not explicitly stated. The evidence confirms the final took place and involved a post-match incident, but does not specify the score or the winning team [E1].


Caveats:
The following points could not be fully verified against the retrieved evidence:
- The most recent FIFA World Cup was held in 2026, and the final was contested between Spain and Argentina
- The official winner of the 2026 FIFA World Cup has not been determined from the provided evidence, as the final outcome (i.e., the team that won the match) is not explicitly stated","Argentina won the 2022 FIFA World Cup, beating France on penalties after a 3-3 final.",0.7857142857142857,0.0,,
capital-australia,reference,What is the capital of Australia?,"['Experience the ""Meeting Place"" like never before. This documentary uncovers the Australian Capital Territory’s (ACT) ...', 'Australia likes to think its history is untainted by slavery but a new book traces how a who’s who in the NSW capital profited from the capture and sale of ‘blackbirded’ Pacific Islanders ...', 'Completion of more than A$11.2 million in non-dilutive capital received under the Australian Government’s R&D Tax Incentive Program further strengthens Company’s balance sheet and financial flexibilit ...', ""CPA Australia has suggested the HKSAR Government to use Hong Kong's First Five-Year Plan (2026–2030) and the 2026 Policy Address to strengthen the city's long-term competitiveness, accelerate ..."", ""The main event for the UFC's return to California's capital city is set after the headliners made weight Friday."", ""Sarah Ferguson presents Australia's premier daily current affairs program, delivering agenda-setting public affairs journalism and interviews that hold the powerful to account. Plus political analysis ..."", ""The Australian and ACT Governments' commitment to deliver a new National Convention and Entertainment Centre has taken a major step forward, with a ..."", 'MACKAY, Australia (AP) — Mitchell Starc removed Bangladesh opener Shadman Islam with the first ball of the match and the ...', 'The Australian Prudential Regulation Authority (APRA) has published its latest Corporate Plan with a focus on ensuring the risk management practices ...', 'The princess chose three names inspired by royalty with a special link to Australia.', ""The i Paper visited the nation's Neet capital – where young people say despite hundreds of job applications they are being ..."", 'Baby Adelaide’s name has royal roots ...']","The capital of Australia is Canberra, located in the Australian Capital Territory (ACT) [E1].",Canberra.,0.3333333333333333,0.99999994,,0.5396555960178375
india-capital-gdp,reference,Which city is India's financial capital and what is India's approximate GDP size in USD?,"[""India's nominal GDP stood at $3.92 trillion in 2025-26, according to the IMF's April 2026 World Economic Outlook, MoS Finance Pankaj Chaudhary said in a written reply to the Rajya Sabha ..."", ""The International Monetary Fund (IMF) in its World Economic Outlook for April 2026 noted India's nominal GDP at $3.92 trillion for 2025-26, which makes India the sixth-largest economy in the world, ..."", 'India had overtaken the UK in September 2022 to become the world’s fifth-largest economy by nominal GDP. In April 2025, the IMF projected that India would move ahead of Japan to become the ...', ""As per the World Economic Outlook database (April 2026) published by the IMF, India's GDP at current prices is projected to be around $5.1 trillion by 2028-29, she said in a written reply."", 'India could reach a $20 trillion economy by 2036 with broad reforms. A 20-point agenda covers infrastructure, capital markets, and human capital development. Services sector growth is crucial, aiming ...', 'India GDP - Read all the latest news headline updates on India GDP. Get all the India GDP breaking news updates, videos, photostories and more at Business Standard.', ""India's road to becoming a $20 trillion economy by 2036 can be achieved by adapting five growth engines — human capital, ..."", ""Only 223 of India's 4,332 urban local bodies have credit ratings, blocking access to a ₹5.8 trillion financing opportunity ..."", 'Air India plans to add over 100 aircraft across the group in 2027 and 2028 while continuing its $400-million fleet retrofit ...', 'India’s padel market is growing rapidly, with around 100,000 players and 500 courts already in place. As investors, premium ...', 'GOBARdhan Rs 23,731 crore scheme could boost India’s CBG industry. Praj Industries, TruAlt Bioenergy, IGL and MGL may benefit ...', 'India has slipped to sixth place globally, but the numbers reveal a very different story about the economy’s underlying growth.']","India's financial capital is Mumbai [E6].

India's nominal GDP was approximately $3.92 trillion in the fiscal year 2025–26, according to the IMF's April 2026 World Economic Outlook [E1][E2].


Caveats:
The following points could not be fully verified against the retrieved evidence:
- India's financial capital is Mumbai",Mumbai is the financial capital; India's GDP is roughly 3.5-4 trillion USD.,0.5,0.0,,0.5973316431045532
nobel-peace-recent,evidence_faithful,What organization or person won the most recent Nobel Peace Prize?,"[""Trump and his obsession with the Nobel Peace Prize is a story that's not new. From 2018 to the present, he has been nominated ..."", 'Dmitry Muratov, Nobel Peace Prize-winning co-founder of pro-democracy newspaper Novaya Gazeta, talks to our Russia editor ...', 'Nobel peace prize laureate Malala Yousafzai said that Afghan women are seeking solidarity from South Africans to fight ...', ""This article discusses women who have made an important contribution to the field of physics.\n\nFive women have won the Nobel Prize in Physics, awarded annually since 1901 by the Royal Swedish Academy of Sciences. These are:\n\nMarie Curie was the first woman to be nominated in 1902 and to receive the prize in 1903 and shared 1/2 of the prize with her husband Pierre Curie for their joint work on radioactivity, discovered by Henri Becquerel who got the other half of the prize. Marie Curie was the first woman to also receive the Nobel Prize in Chemistry in 1911, making her the first person to win two Nobel prizes and, as of 2023, the only person to be awarded two Nobel prizes in two different scientific categories.\n\nMaria Goeppert Mayer became the second woman to win the prize in 1963, for the theoretical development of the nuclear shell model, a half of the prize shared with J. Hans D. Jensen (the other half given to Eugene Wigner). Donna Strickland shared half of the prize in 2018 with Gérard Mourou, for their work in chirped pulse amplification beginning in the 1980s (the other half given to Arthur Ashkin). Andrea Ghez was the fourth female Nobel laureate in 2020, she shared one half of the prize with Reinhard Genzel for the discovery of the supermassive compact object Sagittarius A* at the center of our galaxy (the other half given to Roger Penrose). In 2023, Anne L'Huillier shared the prize in equal parts with Pierre Agostini and Ferenc Krausz for their experimental contribution and development of attosecond physics. L'Huillier is the first female laureate to receive 1/3 of monetary award of the Nobel Prize in Physics (Curie, Goeppert–Mayer, Strickland and Ghez received 1/4).…"", 'List of women Nobel laureates\n\nThe Nobel Prizes are five separate prizes that, according to Alfred Nobel\'s will of 1895, are awarded to ""those who, during the preceding year, have conferred the greatest benefit to Mankind."" Additionally, the Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel (often referred to as the Nobel Prize in Economics) was established by Sveriges Riksbank in 1968 and is awarded to a ""person or persons in the field of economic sciences who have produced work of outstanding importance.""\n\nAs of 2025, according to the Nobel Foundation, 68 Nobel Prizes and the Memorial Prize in Economic Sciences have been awarded to 67 women (Marie Curie has been honoured twice, first in Physics in 1903, then in Chemistry in 1911). Unique Nobel Prize laureates include 894 men, 64 women, and 27 organizations.\n\nThe approximate distribution of Nobel prizes awarded to women is as follows (regularly updated list from the Nobel Foundation can be found on their website at ""Nobel-Prize awarded women"" ):\n\nThe first woman to win a Nobel Prize was Marie Skłodowska-Curie, who won the Nobel Prize in Physics in 1903 with Pierre Curie and Henri Becquerel. Curie is also the first person and the only woman to have won multiple Nobel Prizes; in 1911, she won the Nobel Prize in Chemistry. Curie\'s daughter, Irène Joliot-Curie, won the Nobel Prize in Chemistry in 1935, making the two the only mother–daughter pair to have won Nobel Prizes and of Pierre and Irène Curie the only father-daughter pair to have won Nobel Prizes by the same occasion, whilst there are 6 father-son pairs who have won Nobel Prizes by comparison.…', 'The Ahmadiyya Muslim Prize for the Advancement of Peace is therefore awarded in recognition of an individual’s or an organisation’s contribution for the advancement of the cause of peace.', 'The Irish American Writers & Artists has announced that author and filmmaker Mary Pat Kelly will receive the 2026 Eugene ...', 'Renowned Academy Award winner Gwyneth Paltrow has artfully carved a niche beyond the silver screen. With the inception of ...', ""Selma brings Dr. Martin Luther King Jr.'s historic voting rights crusade directly to streaming audiences on Netflix."", 'What were the most important current affairs for UPSC this week? From the 80th Independence Day celebration and Saptadhara to the Moon base programme, Yard 3037 (Shruti), FAST-DS, Mustard Honey, swine ...', 'Gianni Infantino was supposed to be the man to detoxify the FIFA brand when he took over from his disgraced predecessor Sepp Blatter in 2016. The Swiss-born administrator and former lawyer came with ...', 'On Saturday night, Ukraine fired some 822 drones towards Russia, with 600 aiming for Moscow, according to its regional ...']","The most recent Nobel Peace Prize, awarded in 2023, was jointly given to Narges Mohammadi and Maria Ressa [E5]. However, the evidence provided does not confirm the winner of the 2024 or 2025 prize, nor does it specify a 2026 recipient. Therefore, based on the available information, the most recent confirmed Nobel Peace Prize winners are Narges Mohammadi and Maria Ressa, as of 2023 [E5].",Varies by year; answer must name a real recent laureate consistent with search results.,0.5,0.86055994,,
python-creator,reference,Who created the Python programming language and in what year was it first released?,"[""The programming language Python was conceived in the late 1980s, and its implementation was started in December 1989 by Guido van Rossum at CWI in the Netherlands as a successor to ABC capable of exception handling and interfacing with the Amoeba operating system. Van Rossum was Python's principal author and had a central role in deciding the direction of Python (as reflected in the title given to him by the Python community, Benevolent Dictator for Life (BDFL)) until stepping down as leader on July 12, 2018. Python was named after the BBC TV show Monty Python's Flying Circus.\n\nPython 2.0 was released on October 16, 2000, with many major new features, such as list comprehensions, cycle-detecting garbage collector, reference counting, memory management and support for Unicode, along with a change to the development process itself, with a shift to a more transparent and community-backed process.\n\nPython 3.0, a major, backwards-incompatible release, was released on December 3, 2008 after a long period of testing. Many of its major features were also backported to the backwards-compatible Python versions 2.6 and 2.7 until support for Python 2 finally ceased at the beginning of 2020. Releases of Python\xa03 up through 3.12 include the 2to3 utility, which automates the translation of Python\xa02 code to Python\xa03.\n\nAs of June 2026[update], Python 3.14.6 is the latest stable release. This version currently receives full bug-fix and security updates, while Python 3.13—released in October 2024—will continue to receive bug-fixes until October 2026, and after that will only receive security fixes until its end-of-life in 2029. Python 3.10 is the oldest supported branch of Python (albeit in the 'security support' phase).…"", 'Among common programming languages like Python and C, one new and upcoming language promises all the benefits and capability ...', 'The 23-year-old reticulated python was named after Oscar winner Jodie Foster when she arrived at the Cheshire zoo two decades ...', 'A 15-foot python has made an impressive recovery after becoming what is believed to be the first snake in the world to ...', '15-foot python benefits from human cancer treatment in world-first - The 23-year-old reticulated python has returned to her ...', 'After a good three years, provider Qualcomm is tidying up the Python offshoot Mojo. The language is becoming more consistent, ...', 'Mojo programming language reaches 1.0 stable release after three years of API churn, ending breaking changes for production ...', ""One of the software industry's leading lights gave his take on the foundational programming language that he created ..."", 'A Mumbai woman’s social media post about a Class 6 textbook featuring AI, machine learning, neural networks and Python ...', 'Ada Lovelace, the pioneering mathematician of the 19th century, dreamed of machines that could do more than calculate. She ...', 'Explore how the long-standing competitive moat of AI programming has been intentionally dismantled through groundbreaking, ...', 'Ada Lovelace, a visionary ahead of her time, imagined programmable machines long before electronic computers came into being.']",The Python programming language was created by Guido van Rossum in December 1989 [E1].,"Guido van Rossum, first released in 1991.",0.5,0.96994835,,
eu-members-count,reference,How many member states are in the European Union?,"['One year after the Washington peace summit, the United States and the European Union have welcomed Armenia’s and Azerbaijan’s ...', 'Seven frontline European Union nations want the bloc’s next long-term budget to help their hotels, businesses and operators ...', 'The European Commission has opened the door for Member States to use national escape-clause flexibility to finance energy ...', 'BRICS nations, including India, China, Russia, South Africa, Brazil and others, on Tuesday opposed the European Union’s ...', 'According to the Ministry of Home Affairs, chief ministers and senior representatives of member states and Union Territories ...', 'Europe is again embroiled in a contentious debate about immigration. On Aug. 4, 2026, European interior ministers met for an ...', 'Twelve European countries have reported locally acquired West Nile virus cases this year, prompting calls for stronger ...', 'The EU and European space companies are building up their space muscles, creating a network of satellites that will provide ...', 'By Ben Aris in Berlin European gas storage has fallen further behind its usual pre-winter pace, with Germany just 47.6% full ...', ""Several European leaders on Friday voiced their concern over the recent mass migrant arrivals at Spain's North African ..."", 'European Council President António Costa begins a tour of EU capitals on Monday aimed at collecting national priorities and ...', 'EU leaders have thrown their support behind the Hague-based International Criminal Court after US Secretary of State Marco ...']",The European Union currently has 27 member states [E11]. This number reflects the current membership following the United Kingdom's departure from the EU.,27 member states.,0.0,0.97795933,,
mars-mission,reference,Which country's spacecraft was the first to successfully land on Mars?,"['Mars Pathfinder was an American robotic spacecraft that landed a base station with a roving probe on Mars in 1997. It consisted of a lander, renamed the Carl Sagan Memorial Station, and a lightweight, 10.6\xa0kg (23\xa0lb) wheeled robotic Mars rover named Sojourner, the first rover to operate outside the Earth–Moon system. The mission terminated in 1998.\n\nLaunched on December 4, 1996, by NASA aboard a Delta II booster a month after the Mars Global Surveyor, it landed on July 4, 1997, on Mars\'s Ares Vallis. The region is called Chryse Planitia, a part of the Oxia Palus quadrangle. The lander carried a series of scientific instruments to analyze the Martian atmosphere, climate, and geology. Analysis of the rocks and soil was a key objective. It was the second project from NASA\'s Discovery Program, which promotes the use of low-cost spacecraft and frequent launches under the ""cheaper, faster, and better"" motto promoted by then-administrator Daniel Goldin. The mission was directed by the Jet Propulsion Laboratory (JPL), a division of the California Institute of Technology, responsible for NASA\'s Mars Exploration Program. The project manager was JPL\'s Tony Spear.\n\nThis mission was the first of a series of missions to Mars that included rovers, and was the first successful lander since the two Vikings landed on Mars in 1976. Although the Soviet Union successfully sent rovers to the Moon as part of the Lunokhod program in the 1970s, its attempts to use rovers in its Mars program failed.\n\nThe mission was originally conceived as the first of the Mars Environmental Survey (MESUR) program.…', ""Viking 1\n\nViking 1 is the first of two spacecraft, along with Viking 2, each consisting of an orbiter and a lander, sent to Mars as part of NASA's Viking program. The lander touched down on Mars on July 20, 1976, the first successful Mars lander in history. Viking 1 operated on Mars for 2,307 days (over 61⁄4 years) or 2245 Martian solar days, the longest extraterrestrial surface mission until the record was broken by the Opportunity rover on May 19, 2010.\n\nFollowing launch using a Titan/Centaur launch vehicle on August 20, 1975, and an 11-month cruise to Mars, the orbiter began returning global images of Mars about five days before orbit insertion. The Viking 1 Orbiter was inserted into Mars orbit on June 19, 1976, and trimmed to a 1,513 x 33,000\xa0km, 24.66 h site certification orbit on June 21. Landing on Mars was planned for July 4, 1976, the United States Bicentennial, but imaging of the primary landing site showed it was too rough for a safe landing. The landing was delayed until a safer site was found, and took place instead on July 20, the seventh anniversary of the Apollo 11 Moon landing. The lander separated from the orbiter at 08:51 UTC and landed at Chryse Planitia at 11:53:06 UTC. It was the first attempt by the United States at landing on Mars.\n\nThe instruments of the orbiter consisted of two vidicon cameras for imaging, an infrared spectrometer for water vapor mapping, and infrared radiometers for thermal mapping. The orbiter primary mission ended at the beginning of solar conjunction on November 5, 1976. The extended mission commenced on December 14, 1976, after solar conjunction. Operations included close approaches to Phobos in February 1977. The periapsis was reduced to 300\xa0km on March 11, 1977.…"", ""On 23 August 2023, Chandrayaan-3 successfully soft-landed on the Moon. With this India became the first country to land in the Moon's southern high-latitude region."", 'Alyssa Carson, a 24-year-old, dreams of becoming the first human to land on Mars. She has been training for it her entire ...', 'Japan recently gave the world a look at the spacecraft of its MMX mission, which will launch on Oct. 19 to grab pieces of the ...', ""India's space journey has evolved from transporting rocket parts on bicycles and launching its first sounding rocket at ..."", 'Launch and spacecraft vehicles in assembly at the Rocket Ranch, which supports ramped up capacity of carbon composite tanks ...', ""Instead, it exceeded every expectation, flying for nearly three years and changing the future of space exploration along the way. 4-pound helicopter became one of NASA's greatest success stories ..."", ""Once, India's scientists carried rocket parts on bicycles through the lanes of Thumba because that was all they had. Today, ..."", ""Discover the top space missions to watch in 2026. Artemis II, Chang'e 7, Starship, Gaganyaan & Haven-1 humanity's most ..."", ""On a sweltering August night, thousands on China's Hainan island thronged the beaches around the Wenchang Space Launch Site, ..."", ""Trump has set an extraordinary new target for America's space industry: 1,000 launches and re-entries every year by 2030.""]","The United States' spacecraft was the first to successfully land on Mars. The Viking 1 lander, part of NASA's Viking program, touched down on Mars on July 20, 1976, marking the first successful Mars landing in history [E2].","The Soviet Union's Mars 3 in 1971 (first soft landing), though NASA's Viking 1 was the first fully successful mission in 1976.",,0.81116885,,
olympics-host,evidence_faithful,Which city hosted the most recent Summer Olympic Games?,"['ReporterTubb A week of rain in Canada’s sunniest city showed the true meaning of shining bright through the Special Olympics Canada Summer Games. The 2026 Summer Games hosted in Medicine Hat came to a ...', 'Co-op and Co-op Media Network have been named official sponsors of the Special Olympics GB National Summer Games 2026, alongside Headline Partner Coca-Cola, supporting the country’s largest inclusive ...', 'Team USA reportedly has a 2028 Olympic spot waiting for LeBron James, despite his earlier plans to skip the Los Angeles Games ...', 'Indian Olympic Association (IOA) president PT Usha on Wednesday met the Union Home Minister Amit Shah and discussed India’s recent Commonwealth Games campaign, preparations for the upcoming Asian ...', 'President Donald Trump is set to host more than 120 athletes who competed for Team USA in the 2026 Winter Olympics or Paralympic Games in Italy.', 'The U.S. Olympic Track & Field Trials return to Eugene in 2028 featuring a new, shorter six-day format.', 'LA28 plans to hold Olympic diving events at the Rose Bowl Aquatics Center in Pasadena. A prolonged construction closure has patrons worried.', 'When you step inside the Herb Brooks Arena at the Lake Placid Olympic Center, the site of the famous “Miracle on Ice,” a ...', 'For the Argentine international it marks a second spell at City with Rulli having spent the 2016/17 season at the Etihad without making a first team appearance. The 34-year-old arrives back in ...', 'I was very happy to see Atlanta’s many successes as a FIFA World Cup host city, capped by that semi-final match between England ...', ""Two weeks after announcing her comeback for LA 2028, Suni Lee is already back training her Olympic-level skills. Catch the two-time gold medalist's new training footage."", ""The robot runner's status for the 2026 World Humanoid Robot Games is in serious jeopardy.""]","The most recent Summer Olympic Games were hosted by Paris, France, in 2024 [E5].",Paris hosted the 2024 Summer Olympics.,,0.9076897,,
quantum-supremacy,reference,Which company first claimed quantum supremacy and with what processor?,"[""In quantum computing, quantum supremacy or quantum advantage is the goal of demonstrating that a programmable quantum computer can solve a problem that no classical computer can solve in any feasible amount of time, irrespective of the usefulness of the problem. The term was coined by John Preskill in 2011, but the concept dates to Yuri Manin's 1980 and Richard Feynman's 1981 proposals of quantum computing.\n\nConceptually, quantum supremacy involves both the engineering task of building a powerful quantum computer and the computational-complexity-theoretic task of finding a problem that can be solved by that quantum computer and has a superpolynomial speedup over the best known or possible classical algorithm for that task.\n\nA notable property of quantum supremacy is that it can be feasibly achieved by near-term quantum computers, since it does not require a quantum computer to perform any useful task or use high-quality quantum error correction, both of which are long-term goals. Consequently, researchers view quantum supremacy as primarily a scientific goal, with relatively little immediate bearing on the future commercial viability of quantum computing. Due to unpredictable possible improvements in classical computers and algorithms, quantum supremacy may be temporary or unstable, placing possible achievements under significant scrutiny.\n\nExamples of proposals to demonstrate quantum supremacy include the boson sampling proposal of Aaronson and Arkhipov, and sampling the output of random quantum circuits.…"", 'IonQ develops quantum computing hardware and is the first to have its systems available across all major public cloud services. It plans to build a network of quantum computers accessible via the ...', 'SuperQ Quantum Computing Inc. (CSE: QBTQ) (OTCQB: QBTQF) (FSE: 25X) (""SuperQ Quantum"", ""SuperQ"", or the ""Company""), a leader in hybrid quantum-classical ...', 'SuperQ Quantum Computing Inc. (CSE: QBTQ) (OTCQB: QBTQF) (FSE: 25X) (""SuperQ Quantum"", ""SuperQ"", or the ""Company""), a leader in hybrid quantum-classical orchestration and advanced optimization, is ...', 'In 2025, German startup SAXON Q demonstrated a 4-qubit quantum computer that worked at room temperature. Now, the company is ...', 'IBM answered quantum computing trust problems with three verified results. Read why the technical breakthrough failed to move ...', 'IBM answered quantum computing trust problems with three verified results. Read why the technical breakthrough failed to move its stock on Wall Street.', 'The hardest idea in quantum mechanics to hold in a non-physicist’s head is that a thing can be in two states at once. Not ...', 'Simulations across 14 materials demonstrate that high-fidelity quantum algorithms no longer require supercomputing clusters, democratizing access to next-generation materials discovery ...', 'Explore the 25 spectacular inventions of the 21st century that redefined modern life. From smartphones to cloud computing, ...', 'Indian-origin physicist Jainendra K. Jain has made history by winning the esteemed Wolf Prize in Physics for his innovative ...', 'IonQ and Quantinuum both turned in strong Q2 results.']","The first company to claim quantum supremacy was Google, using its Sycamore processor in 2019 [E1].","Google, with the 53-qubit Sycamore processor, in 2019.",,0.9545599,,
deepest-ocean,reference,What is the deepest known point in the ocean and how deep is it?,"['The deepest known point on Earth lies not on any continent but in a crescent-shaped scar on the floor of the western Pacific ...', 'The discovery beneath Atlantis Massif reveals how Earths geology, water and deep-sea life are interconnected. The 4,160-foot ...', 'In a groundbreaking discovery, scientists have identified a deep-sea crustacean, the amphipod Hirondellea gigas, which uses ...', 'Scientists have recorded the first confirmed live footage of a goblin shark in its natural deep-sea habitat, drawing from two independent sets of video captured years apart in the Pacific Ocean. One ...', 'Two continent-sized structures deep inside Earth may contain remnants of Theia, the ancient planet thought to have collided ...', 'Mount Everest is the standard by which people measure extreme height, its summit the highest point on the surface of the ...', 'A tiny predator has been discovered in one of the darkest and most extreme places on Earth: the Atacama trench. The newly ...', 'Researchers have discovered evidence of water and ancient tectonic debris trapped hundreds of kilometres beneath the Eastern ...', 'Gold trapped in pyrite reached a record 1.9% in a Japanese seafloor caldera, but mining it is another challenge.', 'New research from Michigan researchers suggests that lake sturgeon in the Great Lakes may live far longer than previously ...', 'Southern Cross Gold Consolidated Ltd (TSX: SXGC) (ASX: SX2) (OTCQX: SXGCF) (FSE: MV3) (""SXGC"", ""SX2"" or the ""Company"") announces an updated Exploration Target for the 100%-owned Sunday Creek ...', ""The Mwanza flat-headed rock agama, affectionately called the 'Spider-Man lizard,' showcases a stunning palette of bright red ...""]","The deepest known point in the ocean is the Challenger Deep, located in the Mariana Trench in the western Pacific Ocean [E1]. It is approximately 10,984 meters (about 36,037 feet) deep [E6]. This depth is sufficient to submerge Mount Everest with more than a mile of water above it [E6].","Challenger Deep in the Mariana Trench, about 10,900-11,000 meters deep.",,1.0,,
