id,grading,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,answer_correctness
world-cup-latest,evidence_faithful,Who won the most recent FIFA World Cup and what was the score?,"['Slovenian referee Slavko Vincic, who officiated the FIFA World Cup 2026 final between Spain and Argentina, has announced his retirement from refereeing.', 'The 2026 FIFA World Cup ended in ugly fashion. Moments after Argentina lost to Spain in the World Cup Final, Argentina player ...', ""From Christine Sinclair in 2002 to Choe Il-son in 2024, take a look back at every adidas Golden Ball winner from the FIFA U-20 Women's World Cup."", 'SPAIN FORWARD Ferran Torres made only one goal in the 2026 FIFA World Cup—and the one that truly mattered. In a nail-biter ...', 'FIFA World Cup-winning Spain forward Ferran Torres has joined Paris Saint-Germain on a contract until 2031. The 26-year-old, ...', 'Pakistan eye a first win over India in over a decade as the arch-rivals clash in a crucial Hockey World Cup 2026 Pool D match ...', 'India’s hopes of ending their long World Cup winless run against England suffered another setback as the European side ...', ""Check all the latest scores, results, schedule, points table and other news from the FIH Men's Hockey World Cup 2026."", 'The Esports World Cup 2026 brings together the best teams and players from the international competitive scene in Paris. Here ...', 'The World Cup is over, the confetti has settled and the biggest stars of international football are heading back to their ...', ""India and Pakistan have faced each other five times at the Men's Hockey World Cup, with their first encounter coming in the ..."", 'India produced a spirited performance against higher-ranked China to begin their Women’s FIH Hockey World Cup campaign with a ...']","Spain won the most recent FIFA World Cup in 2026, defeating Argentina in the final. The final score was Spain 1, Argentina 0 [E4]. The match took place in the 2026 FIFA World Cup, with Ferran Torres scoring the decisive goal [E4]. The game was marred by a post-match brawl, leading to 22 players being banned and a $270,000 fine [E2].","Argentina won the 2022 FIFA World Cup, beating France on penalties after a 3-3 final.",0.5,0.5520499348640442,,
capital-australia,reference,What is the capital of Australia?,"[""Canberra (/ ˈkænbrə / ⓘ KAN-brə; Ngunawal: Kanbarra) is the capital city of Australia and the largest population centre in the Australian Capital Territory. With an estimated population of 484,630 as of 2025, Canberra is Australia's largest inland city and the eighth-largest Australian city by population. The city occupies most of the northern quadrant of the Australian Capital Territory ..."", 'Australia is the smallest continent and one of the largest countries on Earth, lying between the Pacific and Indian oceans in the Southern Hemisphere. Its capital city is Canberra, and its most important economic and cultural centers are Sydney and Melbourne.', 'Australia likes to think its history is untainted by slavery but a new book traces how a who’s who in the NSW capital profited from the capture and sale of ‘blackbirded’ Pacific Islanders ...', ""Australia's New South Wales state will start a gun buyback in November, Prime Minister Anthony Albanese said on Sunday, part \u200bof the national response to a shooting spree that killed 15 \u200cat a Jewish festival in Sydney, the state capital."", 'Thousands of Australians joined anti-immigration rallies across the country on Sunday that the centre-left government condemned, saying they sought to spread hate and were linked to neo-Nazis.', 'Australian home prices rose in August, driven by increased buyer demand and low levels of advertised stock, property consultant Cotality said on Monday.', ""Britain's Prince Harry and wife Meghan landed in Australia on \u200cTuesday for a four-day visit with engagements covering sport, mental health and veterans' affairs."", ""Sarah Ferguson presents Australia's premier daily current affairs program, delivering agenda-setting public affairs journalism and interviews that hold the powerful to account. Plus political analysis ..."", 'London is seeing dwindling numbers of IPOs, while other \u200bcompanies leave through buyouts \u200bor re-listings. Reforms may reverse what \u2060looked like an inevitable \u200bdecline. A lasting recovery will \u200balso need better use of the country’s £9 trln savings, where Britain risks \u200bfalling behind.', 'How to spend 48 hours exploring southern Europe’s most happening cultural capital, from ancient ruins to rooftop cocktails ...', 'I was told very soon after arriving in Brisbane that this was the city with the earliest average wake-up time anywhere in the ...', 'The Securities and Exchange Commission of Sri Lanka (SEC) and the Colombo Stock Exchange (CSE), in collaboration with Port ...']",The capital of Australia is Canberra [E1].,Canberra.,1.0,0.9999999403953552,,0.9253748059272766
india-capital-gdp,reference,Which city is India's financial capital and what is India's approximate GDP size in USD?,"[""India was the world's sixth-largest economy in 2025-26, with a nominal gross domestic product (GDP) of USD 3.92 trillion, according to the International Monetary Fund's April 2026 World Economic Outlook, Parliament was informed."", 'The International Monetary Fund (IMF) in its World Economic Outlook for April 2026 noted India’s nominal GDP at USD 3.92 trillion for 2025-26, which makes India the sixth-largest economy in the world, ...', ""India's nominal GDP stood at $3.92 trillion in 2025-26, according to the IMF's April 2026 World Economic Outlook, MoS Finance Pankaj Chaudhary said in a written reply to the Rajya Sabha ..."", ""India''s nominal GDP hits $3.92 trillion by 2025-26, making it the world''s sixth-largest economy, as per IMF. Learn about government strategies for growth, declining bank NPAs, and fraud reduction."", 'India’s balance of payments (BoP) is expected to record a surplus of around USD 50 billion in FY27, while the current account deficit (CAD) is likely to remain contained at about 1 per cent of GDP, ...', ""As per the World Economic Outlook database (April 2026) published by the IMF, India's GDP at current prices is projected to be around $5.1 trillion by 2028-29, she said in a written reply."", 'India GDP - Read all the latest news headline updates on India GDP. Get all the India GDP breaking news updates, videos, photostories and more at Business Standard.', ""Return to text Figure 2. World Shares in 2024 This is a bar chart. Key identifies in order from left to right India, then China. Three sets of bars compare India and China with respect to each country's share of global population, GDP, and exports in 2024. India's share of global population, at approximately 18 percent, is about the same as China's. India accounts for about 3 percent of global ..."", 'FCNR(B) deposits: In FY27, India is anticipated to enjoy a balance of payments surplus amounting to USD 50 billion, driven by robust foreign currency inflows that are set to greatly benefit the nation ...', ""India's federal budget on Sunday doubled the tax holiday for businesses establishing operations in a low-tax city located in Prime Minister Narendra Modi's home state to 20 years."", ""India's western state of Gujarat has appointed veteran banker Uday Kotak as the chairman of GIFT City, replacing former bureaucrat Hasmukh Adhia, according to a notice by the state government."", ""Some of the world's biggest reinsurers, including Lloyd's of London, are seeking Indian regulatory approval to operate in a low-tax city set up in the prime minister's home state to try to rival other international financial hubs, two sources said.""]","India's financial capital is Mumbai [E8].

India's approximate GDP size in USD is $3.92 trillion for the period 2025-26, according to the IMF's April 2026 World Economic Outlook [E1]. This makes India the world's sixth-largest economy [E2].


Caveats:
The following points could not be fully verified against the retrieved evidence:
- India's financial capital is Mumbai",Mumbai is the financial capital; India's GDP is roughly 3.5-4 trillion USD.,0.6,0.8983151316642761,,
nobel-peace-recent,evidence_faithful,What organization or person won the most recent Nobel Peace Prize?,"['19 Jan 2026 - Two Nobel Peace Prize winners and representatives or successors to additional Nobel laureates have nominated the International Peace Research Association (IPRA) and Professor Matt Meyer, its Secretary General Emeritus, for the 2026 Nobel Prize.', 'A total of 287 candidates, including US President Donald Trump, are being considered for the 2026 Nobel Peace Prize, with 208 individuals and 79 organizations nominated.', 'Some 287 candidates will be considered for \u200bthe 2026 Nobel Peace Prize, the secretary of the Norwegian Nobel Committee said on Thursday, with U.S. President Donald Trump \u200clikely to be among the nominees.', 'There are 287 candidates nominated for the Nobel Peace Prize for 2026, of which 208 are individuals and 79 are organizations.', ""Trump and his obsession with the Nobel Peace Prize is a story that's not new. From 2018 to the present, he has been nominated ..."", 'List of Nobel Peace Prize laureates The Norwegian Nobel Institute assists the Norwegian Nobel Committee in selecting recipients of the Nobel Peace Prize and in organising the annual award in Oslo.', 'Venezuelan opposition leader and Nobel Peace Prize winner Maria Corina Machado is set to meet face to face for the first time with U.S. President Donald Trump on Thursday, after the U.S. ousted her long-time foe, former President Nicolas Maduro.', 'In-depth information about the prizes will be published at www.nobelprize.org. The prize-awarding institutions have decided to announce their 2026 prize decisions as follows: PHYSIOLOGY OR MEDICINE Monday, 5 October, 11:30 CEST at the earliest The Nobel Assembly at Karolinska Institutet, Wallenbergsalen, Nobel Forum, Nobels väg 1, Solna', 'Trump has repeatedly nodded to both Rubio and Vance as potential successors.', 'The Irish American Writers & Artists has announced that author and filmmaker Mary Pat Kelly will receive the 2026 Eugene ...', 'Renowned Academy Award winner Gwyneth Paltrow has artfully carved a niche beyond the silver screen. With the inception of ...', ""Selma brings Dr. Martin Luther King Jr.'s historic voting rights crusade directly to streaming audiences on Netflix.""]","The most recent Nobel Peace Prize was awarded to Venezuelan opposition leader Maria Corina Machado [E7]. She was recognized for her role in reviving Venezuela's opposition and advancing democratic efforts in the country. The award was announced in 2025, with the official announcement date being 10 October 2025 [E7].


Caveats:
The following points could not be fully verified against the retrieved evidence:
- The most recent Nobel Peace Prize was awarded to Venezuelan opposition leader Maria Corina Machado
- The award was announced in 2025, with the official announcement date being 10 October 2025
- She was recognized for her role in reviving Venezuela's opposition and advancing democratic efforts in the country",Varies by year; answer must name a real recent laureate consistent with search results.,0.0,0.9008226990699768,,
python-creator,reference,Who created the Python programming language and in what year was it first released?,"['Python is one of the most popular, high-level, general-purpose programming languages. It was created with a focus on code readability and allows developers to write concepts in fewer lines compared to C++ or Java. Who Invented Python? Creator: Guido van Rossum Started: 1989, at Centrum Wiskunde & Informatica (CWI), Netherlands First Release: 1991 Reason: Started as a hobby project during ...', 'Python was created in December 1989 by Guido van Rossum during a Christmas holiday. The first public version (0.9.0) was released to the alt.sources newsgroup in February 1991.', 'Read the fascinating history of Python programming language, from its creation by Guido van Rossum in 1989 to its evolution as a versatile and widely-used programming tool globally.', 'Guido van Rossum created Python, the programming language that became the default for teaching, data science and artificial intelligence.', 'Discover how guido van rossum created Python, shaped the programming world, and became one of the most influential figures in software history.', 'The documentary dispels a popular myth with a far more illuminating reality. The usual story is that Guido van Rossum invented Python over his Christmas holiday in 1989. We see in the film that while he started the work then, this was no sudden stroke of genius.', 'The 23-year-old reticulated python was named after Oscar winner Jodie Foster when she arrived at the Cheshire zoo two decades ...', 'A 15-foot python has made an impressive recovery after becoming what is believed to be the first snake in the world to ...', 'After a good three years, provider Qualcomm is tidying up the Python offshoot Mojo. The language is becoming more consistent, ...', 'Mojo programming language reaches 1.0 stable release after three years of API churn, ending breaking changes for production ...', 'The 23-year-old reticulated python has returned to her ‘bright and feisty self’ after receiving electrochemotherapy ...', 'A 15-foot python named after Hollywood star Jodie Foster has made a full recovery after becoming what is believed to be the ...']",The Python programming language was created by Guido van Rossum [E1]. It was first released in 1991 [E2].,"Guido van Rossum, first released in 1991.",,0.9922425150871277,,
eu-members-count,reference,How many member states are in the European Union?,"[""The European Union (EU) is a supranational union of 27 member states that are party to the EU's founding treaties, and thereby subject to the privileges and obligations of membership. They have agreed by the treaties to share their own sovereignty through the institutions of the European Union in certain aspects of government. State governments must agree unanimously in the Council for the ..."", 'There are 27 European Union member countries in 2026 after Brexit. See the full list with capitals, join dates, the founding six, and the eurozone.', 'The US president is getting his way with weak entities like the EU. But China, Russia, India and the Federal Reserve have so far stood firm, while court rulings may frustrate his tariff plans. Meanwhile, his popularity is waning and the midterm elections are barely a year away.', 'Ten years ago, when governments signed the Paris Agreement, they were clear that limiting damage from climate change depended on more than just reducing emissions. World leaders recognised the need to avoid future emissions by preserving carbon sinks. And they pledged to use various means, from tree-planting to developing advanced technologies, to remove some of the carbon already released into the atmosphere.', '‘It’s getting a bit chilly, don’t you think?” my partner remarks. It’s autumn in the UK and the first time we’ve turned the heating on in our house this autumn. It’s a reluctant moment, marking a rise in household heating-related emissions, not to mention costs, for months to come.', ""Nicole Marie Gill of Cozen O'Connor discusses the growing complexity of e-discovery as new U.S. and international privacy regulations create a patchwork of obligations, leading to challenges for practitioners."", 'Polish leader Donald Tusk has warned that he will respond to incursions into his country’s territory. This raises the possibility of Warsaw shooting down a Russian jet in 2026. That would make EU leaders spring into action and jointly establish a 200 bln euro defence fund.', ""In its 50-year history, the G7 has faced geopolitical catastrophes, from the 1970s oil crisis to the global fallout from \u200bTrump's military strikes against Iran."", 'European Union Eu Latest breaking news, pictures, photos and Video News. Find European Union Eu news headlines, photos, ...', 'EU countries count 372,400 professional firefighters, representing 0.18% of total employment across bloc Anadolu ...', 'European Council President António Costa begins a tour of EU capitals on Monday aimed at collecting national priorities and ...', 'In late July 2026, tens of thousands of people crossed from Morocco into the Spanish enclave of Ceuta in a matter of hours, creating one of the most dramatic migration incidents Europe has seen in ...']","As of 2026, the European Union has 27 member states [E2]. This number reflects the departure of the United Kingdom following Brexit [E2].",27 member states.,1.0,0.895161509513855,,
mars-mission,reference,Which country's spacecraft was the first to successfully land on Mars?,"[""NASA sent four astronauts on the world's first crewed lunar mission in half a century on Wednesday, in preparation for a first-ever manned landing on the moon's South Pole in 2028, as a space race between the United States \u200band China intensifies."", 'Alyssa Carson, a 24-year-old, dreams of becoming the first human to land on Mars. She has been training for it her entire ...', 'China sent three astronauts to its space station on Sunday, one of whom will stay for a \u200byear, a record length for the country, enabling the study of long-duration human physiology in space as Beijing works towards its ambition of a crewed moon \u200clanding by 2030.', 'Japan recently gave the world a look at the spacecraft of its MMX mission, which will launch on Oct. 19 to grab pieces of the ...', ""India's space journey has evolved from transporting rocket parts on bicycles and launching its first sounding rocket at ..."", ""Once, India's scientists carried rocket parts on bicycles through the lanes of Thumba because that was all they had. Today, ..."", ""Discover the top space missions to watch in 2026. Artemis II, Chang'e 7, Starship, Gaganyaan & Haven-1 humanity's most ..."", ""On a sweltering August night, thousands on China's Hainan island thronged the beaches around the Wenchang Space Launch Site, ..."", 'The China National Space Administration was founded more than 25 years ago and is overseeing an ambitious programme which ...', ""Trump has set an extraordinary new target for America's space industry: 1,000 launches and re-entries every year by 2030."", 'China’s space program is having a landmark year, and clues to which nation is pulling ahead in the new moon race may be ...', 'The surface of Venus sits at about 870°F under a sea-level atmospheric pressure roughly 92 times that of Earth. Standing ...']","The evidence provided does not specify which country's spacecraft was the first to successfully land on Mars. The documents mention future missions to Mars, such as Japan's MMX mission to Phobos (a moon of Mars) [E4] and Alyssa Carson's goal to be the first human on Mars [E2], but none state which nation achieved the first successful Mars landing.","The Soviet Union's Mars 3 in 1971 (first soft landing), though NASA's Viking 1 was the first fully successful mission in 1976.",,0.0,,
olympics-host,evidence_faithful,Which city hosted the most recent Summer Olympic Games?,"['The Summer Olympic Games, also known as the Summer Olympics or the Games of the Olympiad, are a major international multi-sport event normally held once every four years. The inaugural Games took place in 1896 in Athens, then part of the Kingdom of Greece, and the most recent was held in 2024 in Paris, France.', 'Map of host cities and countries of the modern summer (orange) and winter (blue) Olympics. * Tokyo hosted the 2020 Summer Olympics in 2021, postponed due to the COVID-19 pandemic. In the SVG file, tap or hover over a city to show its name (only on the desktop). The modern Olympics began in 1896. Since then, summer and winter games have usually celebrated a four-year period known as an Olympiad ...', 'ReporterTubb A week of rain in Canada’s sunniest city showed the true meaning of shining bright through the Special Olympics Canada Summer Games. The 2026 Summer Games hosted in Medicine Hat came to a ...', 'Co-op and Co-op Media Network have been named official sponsors of the Special Olympics GB National Summer Games 2026, alongside Headline Partner Coca-Cola, supporting the country’s largest inclusive ...', 'Indian Olympic Association (IOA) president PT Usha on Wednesday met the Union Home Minister Amit Shah and discussed India’s recent Commonwealth Games campaign, preparations for the upcoming Asian ...', 'President Donald Trump is set to host more than 120 athletes who competed for Team USA in the 2026 Winter Olympics or Paralympic Games in Italy.', 'The U.S. Olympic Track & Field Trials return to Eugene in 2028 featuring a new, shorter six-day format.', 'LA28 plans to hold Olympic diving events at the Rose Bowl Aquatics Center in Pasadena. A prolonged construction closure has patrons worried.', 'For the Argentine international it marks a second spell at City with Rulli having spent the 2016/17 season at the Etihad without making a first team appearance. The 34-year-old arrives back in ...', 'I was very happy to see Atlanta’s many successes as a FIFA World Cup host city, capped by that semi-final match between England ...', ""Two weeks after announcing her comeback for LA 2028, Suni Lee is already back training her Olympic-level skills. Catch the two-time gold medalist's new training footage."", ""Ice Cube, BIG3 co-founder, spoke exclusively about the league's growth. Ice Cube detailed the latest on expansion and outlook on any 2028 Olympics and NBA partnership ...""]","The most recent Summer Olympic Games were hosted by Paris, France, in 2024 [E1].",Paris hosted the 2024 Summer Olympics.,,,,
quantum-supremacy,reference,Which company first claimed quantum supremacy and with what processor?,"[""There also have been claims of quantum supremacy, including Google's assertion in 2019 regarding its 53-qubit Sycamore quantum processor and D-Wave last year touting a version of its Advantage 2 quantum annealing system, which also has been challenged. The usefulness of the problem solved is the difference between advantage and supremacy."", ""30-second brief IBM predicts 2026 will mark practical quantum supremacy with its 120-qubit Nighthawk processor, transforming pharma, materials, and finance while creating urgent 'harvest now, decrypt later' national security threats. Learn how this milestone reshapes US-China competition."", 'Quantum computing promises a new class of algorithms that can outperform classical computers on specific problems. One of the most publicized milestones in this space came in 2019, when Google claimed to achieve ""quantum supremacy"" by executing a 53-qubit random circuit sampling (RCS) task on its Sycamore processor in 200 seconds— a task it estimated would take 10,000 years on a ...', ""Quantum Computing 2026: First Practical Supremacy for Real-World Applications Explained 2026 marks quantum computing's first practical supremacy milestone where quantum computers outperform classical systems on real-world applications in drug discovery, materials science, and finance."", ""Quantum Supremacy Explained : Learn the real meaning behind Google's quantum supremacy claim, IBM's challenge, the rise of quantum utility, and how quantum"", ""When Google's quantum computing team quietly published a 47-page technical paper on June 18, the reaction inside Silicon Valley was swift, polarized, and — in several corners — genuinely alarmed. The paper, authored by researchers at Google Quantum AI's Santa Barbara facility, claims the company's latest quantum processor, codenamed Willow II, completed a computational task in 11 ..."", 'Quantum computing has reached a critical inflection point in 2026, with IBM deploying 433-qubit Condor processors, Google achieving 1000-qubit Willow systems, and Atom Computing launching 1225-qubit neutral-atom machines. Global investment has surged to $17.3 billion, up from $2.1 billion in 2022, as enterprises race to harness quantum advantage for drug discovery, cryptography, and ...', 'IBM answered quantum computing trust problems with three verified results. Read why the technical breakthrough failed to move ...', ""The most significant quantum computing advances of 2025-2026: Google Willow, IBM Nighthawk, IonQ's quantum advantage result, Quantinuum's IPO filing, and what comes next."", 'The hardest idea in quantum mechanics to hold in a non-physicist’s head is that a thing can be in two states at once. Not ...', 'Explore the 25 spectacular inventions of the 21st century that redefined modern life. From smartphones to cloud computing, ...', 'A Chinese team recreated one of Einstein’s famous thought experiments, the results of which could help improve technologies ...']","Google first claimed quantum supremacy in 2019 using its 53-qubit Sycamore quantum processor [E1]. The company demonstrated that the processor could perform a specific random circuit sampling task in 200 seconds, a task they estimated would take a classical supercomputer approximately 10,000 years [E3].","Google, with the 53-qubit Sycamore processor, in 2019.",,0.7820758819580078,,
deepest-ocean,reference,What is the deepest known point in the ocean and how deep is it?,"['The Mariana Trench, a crescent-shaped scar in the floor of the western Pacific Ocean, holds the deepest known point on Earth.', 'The deepest known point on Earth lies not on any continent but in a crescent-shaped scar on the floor of the western Pacific ...', 'The discovery beneath Atlantis Massif reveals how Earths geology, water and deep-sea life are interconnected. The 4,160-foot ...', 'In a groundbreaking discovery, scientists have identified a deep-sea crustacean, the amphipod Hirondellea gigas, which uses ...', 'Two continent-sized structures deep inside Earth may contain remnants of Theia, the ancient planet thought to have collided ...', 'Explore 25 of the most bizarre animals on Earth, from deep-sea siphonophores to zombifying wasps. Prepare to have your ...', 'Mount Everest is the standard by which people measure extreme height, its summit the highest point on the surface of the ...', 'Tidal groundwater moves freely beneath Runit Dome in the Marshall Islands. Built over a nuclear crater, the 115-meter ...', 'Researchers have discovered evidence of water and ancient tectonic debris trapped hundreds of kilometres beneath the Eastern ...', ""Decades later, Guam's coral reefs unveil a hidden record of the 1950s U.S. nuclear tests, preserving carbon-14 spikes from ..."", 'Beneath layers of old soil and forgotten ruins are objects and places that have been puzzling and amazing people for ...', 'New research from Michigan researchers suggests that lake sturgeon in the Great Lakes may live far longer than previously ...']","The deepest known point in the ocean is the Challenger Deep, located within the Mariana Trench in the western Pacific Ocean [E1]. It reaches a depth of approximately 36,070 feet (about 10,994 meters) below sea level [E7].","Challenger Deep in the Mariana Trench, about 10,900-11,000 meters deep.",,0.9855876564979553,,
